id;key;1::Spanish;
1;plugin_base_menu_dashboard;Dashboard;Dashboard
2;plugin_base_menu_system_options;System Options;Opciones del sistema
3;plugin_base_menu_general;General;General
4;plugin_base_infobox_general_title;General Options;Opciones generales
5;plugin_base_infobox_general_desc;Here you can set the General Options for the system.;Aquí puede configurar las opciones generales para el sistema.
6;plugin_base_error_titles_ARRAY_PBS01;All changes saved!;¡Todos los cambios guardados!
7;plugin_base_error_bodies_ARRAY_PBS01;General options have been successfully updated. ;Las opciones generales se han actualizado con éxito.
8;plugin_base_opt_o_date_format;Date format;Formato de fecha
9;plugin_base_opt_o_time_format;Time format;Formato de hora
10;plugin_base_opt_o_timezone;Timezone;Zona horaria
11;plugin_base_opt_o_week_start;First day of week;Primer dia de la semana
12;plugin_base_opt_o_currency;Currency;Moneda
13;plugin_base_opt_o_price_format;Price format;Formato de precio
14;plugin_base_opt_o_currency_place;Currency symbol place;Lugar de símbolo de moneda
15;plugin_base_currency_places_ARRAY_front;Before amount;Antes de la cantidad
16;plugin_base_currency_places_ARRAY_back;After amount;Después de la cantidad
17;plugin_base_btn_save;Save;Guardar
18;plugin_base_btn_delete;Delete;Eliminar
19;plugin_base_btn_reset;Reset;Resetear
20;plugin_base_menu_backup;Back-up;Copia de seguridad
21;plugin_base_infobox_backup_title;Back-up;Copia de seguridad
22;plugin_base_infobox_backup_desc;Set auto back-up or manually back-up your data. We recommend you to regularly back up your database and files to prevent any loss of information.;Establezca una copia de seguridad automática o una copia de seguridad manual de sus datos. Le recomendamos que haga una copia de seguridad de su base de datos y archivos regularmente para evitar cualquier pérdida de información.
23;plugin_base_error_titles_ARRAY_PBU01;Backup complete!;¡Copia de seguridad finalizada!
24;plugin_base_error_bodies_ARRAY_PBU01;All backup files have been saved.;Todos los archivos han sido guardados.
25;plugin_base_yesno_ARRAY_T;Yes;Si
26;plugin_base_yesno_ARRAY_F;No;No
27;plugin_base_create_backup;Make back-up;Hacer una copia de seguridad
28;plugin_base_backup_database;Backup database;Base de datos de respaldada
29;plugin_base_backup_files;Backup files;Archivos de respaldo
30;plugin_base_btn_backup;Back-up;Copia de seguridad
31;plugin_base_error_titles_ARRAY_PBU03;Backup failed!;¡La copia de seguridad fallo!
32;plugin_base_error_bodies_ARRAY_PBU03;No option was selected.;No se seleccionó ninguna opción.
33;plugin_base_error_titles_ARRAY_PBU04;Backup failed!;¡La copia de seguridad fallo!
34;plugin_base_error_bodies_ARRAY_PBU04;Back-up not performed.;Copia de seguridad no realizada.
35;plugin_base_error_titles_ARRAY_PBU05;Backup failed!;¡La copia de seguridad fallo!
36;plugin_base_error_bodies_ARRAY_PBU05;"Back-up folder not found. Please ensure that ""app/web/backup"" folder exists.";"Carpeta de respaldo no encontrada. Asegúrese de que exista la carpeta ""Carpeta Raiz del app / web / backup""."
37;plugin_base_error_titles_ARRAY_PBU06;Backup failed!;¡La copia de seguridad fallo!
38;plugin_base_error_bodies_ARRAY_PBU06;"You need to set write permissions (chmod 777) to ""app/web/backup"" folder.";"Debe establecer permisos de escritura (chmod 777) en la carpeta ""Carpeta Raiz del app / web / backup""."
39;plugin_base_backup_data_type;Data type;Tipo de datos
40;plugin_base_backup_file_size;File size;Tamaño del archivo
41;plugin_base_backup_delete_confirmation;Are you sure you want to delete the selected file?;¿Estás seguro de que deseas eliminar el archivo seleccionado?
42;plugin_base_backup_delete_selected;Delete selected;Eliminar seleccionados
43;plugin_base_backup_backup_made;Back-up made;Copia de seguridad realizada exitosamente
44;plugin_base_backup_file_name;File name;Nombre del archivo
45;plugin_base_menu_sms_settings;SMS Settings;Configuraciones de mensajes SMS
46;plugin_base_infobox_sms_settings_title;SMS Settings;Configuraciones de mensajes SMS
47;plugin_base_infobox_sms_settings_desc;Enter your SMS API key and view messages sent by the system.;Ingrese su clave API de SMS y vea los mensajes enviados por el sistema.
48;plugin_base_sms_tab_settings;Settings;Configuraciones
49;plugin_base_sms_tab_messages_sent;Messages sent;Mensajes enviados
50;plugin_base_sms_infobox_api_settings;"To send SMS you need a valid API Key. If you have one, enter it in the box below. Click on ""Verify your key"" button to check if key is valid. Click on ""Send a test message"" button to send a test message to your phone.";"Para enviar SMS necesita una clave API válida. Si tiene una, ingrésela en el cuadro a continuación. Haga clic en el botón ""Verificar su clave"" para verificar si la clave es válida. Haga clic en el botón ""Enviar un mensaje de prueba"" para enviar un mensaje de prueba a su teléfono."
51;plugin_base_btn_send_test_message;Send a test message;Enviar un mensaje de prueba
52;plugin_base_sms_api_key;SMS API Key;Clave API de mensajes SMS
53;plugin_base_btn_verify_your_key;Verify your key;Verifica tu clave
54;plugin_base_this_field_is_required;This field is required.;Este campo es requerido.
55;plugin_base_error_titles_ARRAY_PSS01;SMS API key saved!;¡Clave de API de mensajes SMS guardada!
56;plugin_base_error_bodies_ARRAY_PSS01;SMS API key has been successfully saved!;¡La clave API de mensajes SMS se ha guardado correctamente!
57;plugin_base_sms_statuses_ARRAY_0;Account limit reached;Límite de cuenta alcanzado
58;plugin_base_sms_statuses_ARRAY_1;Message sent;Mensaje enviado
59;plugin_base_sms_statuses_ARRAY_2;Message not sent;Mensaje no enviado
60;plugin_base_sms_statuses_ARRAY_3;Account not confirmed;Cuenta no confirmada
61;plugin_base_sms_statuses_ARRAY_4;Incorrect API key;Clave API incorrecta
62;plugin_base_sms_statuses_ARRAY_6;Account is disabled;La cuenta está desactivada
63;plugin_base_btn_search;Search;Buscar
64;plugin_base_sms_date_time_sent;Date/time sent;Fecha / hora enviada
65;plugin_base_sms_number;Number;Número
66;plugin_base_sms_message;Message;Mensaje
67;plugin_base_sms_status;Status;Estado
68;plugin_base_sms_key_is_correct;Key is correct.;La clave es correcta.
69;plugin_base_sms_key_is_invalid;Key is not valid.;La clave no es válida.
70;plugin_base_sms_test_message;Test message for SMS API key.;Mensaje de prueba para clave API de mensajes SMS.
71;plugin_base_sms_test_sms_sent_to;Test SMS has been sent to;El mensaje SMS de prueba ha sido enviado a
72;plugin_base_sms_test_sms_title;Send Test SMS;Enviar mensaje SMS de prueba
73;plugin_base_sms_test_sms_text;Enter your mobile phone number and system will send a test message to it. Include international country code too!;Ingrese su número de teléfono móvil y el sistema le enviará un mensaje de prueba. ¡Incluya también el código internacional del país!
74;plugin_base_btn_send_sms;Send SMS;Enviar mensaje SMS
75;plugin_base_btn_cancel;Cancel;Cancelar
76;plugin_base_sms_sent;SMS sent!;Mensaje SMS enviado!
77;plugin_base_sms_failed_to_send;SMS failed to send!;Mensaje SMS no pudo enviar!
78;plugin_base_menu_visual_branding;Visual & Branding;Marca visual
79;plugin_base_error_titles_ARRAY_PBS02;All changes saved!;¡Todos los cambios guardados!
80;plugin_base_error_bodies_ARRAY_PBS02;All changes on Visual & Branding have been saved.;Todos los cambios de marca visual se han guardado.
81;plugin_base_infobox_visual_branding_title;Visual & Branding;Marca visual
82;plugin_base_infobox_visual_branding_desc;Choose a preferred color theme for the back-end of the system and change system branding.;Elija un tema de color preferido para el back-end del sistema y cambie la marca del sistema.
83;plugin_base_opt_o_theme;Color theme;Tema de color
84;plugin_base_opt_o_hide_phpjabbers_logo;Hide PHPJabbers.com logo;Ocultar el logotipo de PHPJabbers.com
85;plugin_base_opt_o_hide_footer;Hide footer text;Ocultar texto de pie de página
86;plugin_base_opt_o_footer_text;Custom footer text;Texto de pie de página personalizado
87;plugin_base_menu_email_settings;Email Settings;Ajustes de correo electrónico
88;plugin_base_error_titles_ARRAY_PBS03;Email settings saved!;Configuraciones de correo electrónico guardada!
89;plugin_base_error_bodies_ARRAY_PBS03;Email settings have been successfully saved.;La configuración del correo electrónico se ha guardado correctamente.
90;plugin_base_infobox_email_settings_title;Email Settings;Ajustes de correo electrónico
91;plugin_base_infobox_email_settings_desc;Use the form below to define the settings for sending emails.;Use el siguiente formulario para definir la configuración para enviar correos electrónicos.
92;plugin_base_opt_o_send_email;Sending method;Método de envío
93;plugin_base_opt_o_smtp_host;SMTP Host;Host SMTP
94;plugin_base_opt_o_smtp_port;SMTP Port;Puerto SMTP
95;plugin_base_opt_o_smtp_user;SMTP Username;Nombre de usuario SMTP
96;plugin_base_opt_o_smtp_pass;SMTP Password;Contraseña SMTP
97;plugin_base_opt_o_smtp_auth;SMTP Auth Type;Tipo de autenticación SMTP
98;plugin_base_opt_o_sender_email;"Email address (""From"" header)";"Dirección de correo electrónico (encabezado ""De"")"
99;plugin_base_test_connection;Test connection;Probar la conexion
100;plugin_base_send_test_email;Send test email;Enviar correo electrónico de prueba
101;plugin_base_test_smtp_title;Test SMTP;Prueba SMTP
102;plugin_base_test_smtp_text;Are you sure you want to test the SMTP connection?;¿Esta seguro que quieres probar la conexión SMTP?
103;plugin_base_btn_yes_connect;Yes, connect;Sí, conectar
104;plugin_base_opt_o_smtp_secure;SMTP Secure;SMTP seguro
105;plugin_base_send_test_email_title;Send Test Email;Enviar correo electrónico de prueba
106;plugin_base_btn_send_email;Send Email;Enviar correo electrónico
107;plugin_base_send_test_email_text;Enter your email address and a test message will be sent to it to verify that system is able to send emails.;Ingrese su dirección de correo electrónico y se le enviará un mensaje de prueba para verificar que el sistema pueda enviar correos electrónicos.
108;plugin_base_send_test_email_address;Email Address;Dirección de correo electrónico
109;plugin_base_test_email_subject;Test email subject;Asunto de correo electrónico de prueba
110;plugin_base_test_email_message;Test email message;Probar mensaje de correo electrónico
111;plugin_base_menu_languages;Languages;Idiomas
112;plugin_base_locale_infobox_languages_title;Languages;Idiomas
113;plugin_base_locale_infobox_languages_desc;Add as many languages as you need to your script. For each of the languages added you need to translate all the text titles.;Agregue tantos idiomas como necesite. Para cada uno de los idiomas agregados, necesita traducir todos los títulos de texto.
114;plugin_base_languages_tab_languages;Languages;Idiomas
115;plugin_base_languages_tab_labels;Labels;Etiquetas
116;plugin_base_btn_add_language;Add Language;Añadir idioma
117;plugin_base_locale_lbl_language;Language;Idioma
118;plugin_base_locale_lbl_frontend_title;Front-end title;Título de front-end
